number,name,image,theme,subtheme,year,rating,owner,want_it,pieces,minifigs,us_price,eu_price
40202,Easter Chick,https://images.brickset.com/sets/small/40202-1.jpg,Seasonal,Easter,2016,,2357,310,111,,9.99,9.99
40203,Vampire and Bat,https://images.brickset.com/sets/small/40203-1.jpg,Seasonal,Halloween,2016,5.0,2268,330,150,,5.99,
40204,Pilgrim's Feast,https://images.brickset.com/sets/small/40204-1.jpg,Seasonal,Thanksgiving,2016,,1531,195,163,,5.99,
40205,Little Elf Helpers,https://images.brickset.com/sets/small/40205-1.jpg,Seasonal,Christmas,2016,,1885,230,238,,9.99,
40206,LEGO Santa,https://images.brickset.com/sets/small/40206-1.jpg,Seasonal,Christmas,2016,,2893,209,155,,9.99,
40207,Year of the Monkey,https://images.brickset.com/sets/small/40207-1.jpg,Seasonal,Chinese New Year,2016,,685,561,165,,,
40208,Polar Bear,https://images.brickset.com/sets/small/40208-1.jpg,Promotional,Monthly Mini Model Build,2016,,387,240,,,,
40209,Snowmobile,https://images.brickset.com/sets/small/40209-1.jpg,Promotional,Monthly Mini Model Build,2016,,324,219,,,,
40210,Bunny,https://images.brickset.com/sets/small/40210-1.jpg,Promotional,Monthly Mini Model Build,2016,,372,216,,,,
40211,Bee,https://images.brickset.com/sets/small/40211-1.jpg,Promotional,Monthly Mini Model Build,2016,,376,252,,,,
40212,Hedgehog,https://images.brickset.com/sets/small/40212-1.jpg,Promotional,Monthly Mini Model Build,2016,,410,350,,,,
40213,Seaplane,https://images.brickset.com/sets/small/40213-1.jpg,Promotional,Monthly Mini Model Build,2016,,307,132,,,,
40214,Frog,https://images.brickset.com/sets/small/40214-1.jpg,Promotional,Monthly Mini Model Build,2016,5.0,331,187,,,,
40215,Apple,https://images.brickset.com/sets/small/40215-1.jpg,Promotional,Monthly Mini Model Build,2016,,372,232,58,,,
40216,School Bus,https://images.brickset.com/sets/small/40216-1.jpg,Promotional,Monthly Mini Model Build,2016,,336,167,,,,
40217,Werewolf,https://images.brickset.com/sets/small/40217-1.jpg,Promotional,Monthly Mini Model Build,2016,,320,145,,,,
40218,Fox,https://images.brickset.com/sets/small/40218-1.jpg,Promotional,Monthly Mini Model Build,2016,,334,176,,,,
40219,Christmas present,https://images.brickset.com/sets/small/40219-1.jpg,Promotional,Monthly Mini Model Build,2016,,310,280,,,,
40220,London Bus,https://images.brickset.com/sets/small/40220-1.jpg,Creator,,2016,5.0,6936,882,118,,,
40221,Fountain,https://images.brickset.com/sets/small/40221-1.jpg,Creator,,2016,4.8,6204,1365,105,2,,
40222,Christmas Build-Up,https://images.brickset.com/sets/small/40222-1.jpg,Seasonal,Christmas,2016,2.8,5173,231,250,,,
40223,Snowglobe,https://images.brickset.com/sets/small/40223-1.jpg,Seasonal,Christmas,2016,4.8,6712,1214,215,1,9.99,
40225,Rio 2016 Mascots,https://images.brickset.com/sets/small/40225-1.jpg,Promotional,Miscellaneous,2016,4.0,161,227,197,,,
40226,Birthday Buddy,https://images.brickset.com/sets/small/40226-1.jpg,Seasonal,Birthday,2016,,130,412,133,,,
40227,MSC Meraviglia,https://images.brickset.com/sets/small/40227-1.jpg,Promotional,Miscellaneous,2016,,183,421,180,,,
40228,Geoffrey & Friends,https://images.brickset.com/sets/small/40228-1.jpg,Promotional,Toys R Us,2016,4.0,2297,241,133,2,9.99,9.99
41065,Rapunzel's Best Day Ever,https://images.brickset.com/sets/small/41065-1.jpg,Disney,Tangled,2016,,855,380,145,1,19.99,24.99
41066,Anna & Kristoff's Sleigh Adventure,https://images.brickset.com/sets/small/41066-1.jpg,Disney,Frozen,2016,,2539,557,174,2,29.99,29.99
41067,Belle's Enchanted Castle,https://images.brickset.com/sets/small/41067-1.jpg,Disney,Beauty and the Beast,2016,4.0,1814,573,374,8,49.99,49.99
41068,Arendelle Castle Celebration,https://images.brickset.com/sets/small/41068-1.jpg,Disney,Frozen,2016,,2196,623,477,6,59.99,59.99
41069,Treasure's Day at the Pool,https://images.brickset.com/sets/small/41069-1.jpg,Disney,Palace Pets,2016,3.0,1024,261,70,,5.99,3.99
41110,Birthday Party,https://images.brickset.com/sets/small/41110-1.jpg,Friends,Party,2016,,1066,397,191,1,19.99,19.99
41111,Party Train,https://images.brickset.com/sets/small/41111-1.jpg,Friends,Party,2016,,1913,363,109,1,9.99,9.99
41112,Party Cakes,https://images.brickset.com/sets/small/41112-1.jpg,Friends,Party,2016,,2113,324,50,,4.99,4.99
41113,Party Gift Shop,https://images.brickset.com/sets/small/41113-1.jpg,Friends,Party,2016,,1685,286,52,,4.99,4.99
41114,Party Styling,https://images.brickset.com/sets/small/41114-1.jpg,Friends,Party,2016,,1440,266,54,,4.99,4.99
